id,brand,title,description,price,priceCurrency,cluster_id,url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,height_mm,length_mm,width_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_3_57965652,Palit,PALIT NE6166SS18J9-161F PALIT GeForce GT,PALIT NE6166SS18J9-161F PALIT GeForce GT,289.32,W8E,1051451.0,https://shop.selenal.lv/107117/palit-ne6166ss18j9-161f-palit-geforce-gt,"PALIT NE6166SS18J9-161F PALIT GeForce GT, described as PALIT NE6166SS18J9-161F PALIT GeForce GT",GeForce G,NE6166SS18J9-161F,GPU,,,,,,,,,,,,,,,
products_3_20149069,Hewlett Packard Enterprise,Hewlett Packard Enterprise - HPE 1TB 6G SATA 7.2K 3.5in NETY HDD,Hewlett Packard Enterprise HPE 1TB 6G SATA 7.2K 3.5in NETY HDD (843266-B21),93.0,E,1054223.0,https://www.yritystenverkkokauppa.fi/hewlett-packard-enterprise-hpe-1tb-6g-sata/cat-p/c36320/p8538424,Hewlett Packard Enterprise - HPE 1TB 6G SATA 7.2K 3.5in NETY HDD. Description: Hewlett Packard Enterprise HPE 1TB 6G SATA 7.2K 3.5in NETY HDD (843266-B21),HPE 1TB 6G SATA 7.2K 3.5in NETY HDD,,HDD,,,1000000.0,,,,,,,,,3.5-inch SATA,,,3.S-ineh
products_3_71446077,Asus,"ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2","ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2 x DisplayPort, USB-C","1 563,20",EUR,1063063.0,https://www.balistik.fr/cartes-video-graphique/436635-asus-rog-strix-rtx2080ti-o11g-gaming-oc-edition-carte-graphique-gf-rtx-2080-ti-1-4718017136570.html,"ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2. Description: ASUS ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition - carte graphique - GF RTX 2080 Ti - 11 Go GDDR6 - PCIe 3.0 x16 - 2 x HDMI, 2 x DisplayPort, USB-C",ROG-STRIX-RTX2080TI-O11G-GAMING - OC Edition,ROG-STRIX-RTX2080TI-O11G-GAMING,Graphics Processing Unit,GeForce RTX 2080,,,,,,,,,,,,GDDR6,,
products_3_86084034,Transcend,"Transcend SSD220 2.5\"" 120GB SATA III Solid State",With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .,21.44,GBP,1066948.0,https://www.cclonline.com/product/211591/TS120GSSD220S/Solid-State-Drives-SSDs-/Transcend-SSD220-120GB-2-5-SATA-III-Solid-State-Drive/SSD0494,"Transcend SSD220 2.5\"" 120GB SATA III Solid State Drive. Description: With Super Fluid performance due to it's SATA III interface and super Smooth 550Mbps read speed .",SSD220,,SSD,,,"120,000 MB",,,,SATA III,,,,,2.5-inch SATA,,,2.5-inch
products_3_43317133,Patriot,"Patriot SSD 240GB 2.5\"" SATA3","Patriot SSD 240GB 2.5\"" SATA3 SSD",109.2,BA,1068495.0,https://www.slot.ba/proizvod/patriot-ssd-240gb-2-5-sata3,"Patrolt SSD 240GB 2.5\"" SATA3. Description: Patriot SAD 240GB 2.5\"" SATA3 SSD",Burst,,SSD,,,,,,SATA,SATA III,,,,,,,,2.5-inch
products_3_55714499,Sandisk,Pendrive Sandisk PEN Drive SDCZ50-128G-B35,Cruzer Blade 128GB,19.16,EUR,1068990.0,https://mir-informatica.com/perifericos/21470-SDCZ50-128G-B35.html,Pendrive Sandisk PEN Drive SDCZ50-128G-B35. Description: Cruzer Blade 128GB,,SD CZ50-128G-B35,USB_STICK,,,,,,,,,,,,,,,
products_3_18920928,Western Digital,HDX 3.5 4Tb WD WDBWLG0040HBK-EESN,"Western Digital Elements Desktop 4TB. Capacità hard disk: 4000 GB,",93.55,,1077512.0,https://www.esseshop.it/hdx-35-4tb-wd-wdbwlg0040hbkeesn-p-34881.html,"HDX 3.5 4Tb WD WDBWLG0040HBK-EESN. Description: Western Digital Elements Desktop 4TB. Capacirà hard disk: 4099 GB,",Western Digital Elements Desktop,WDBWLG0040HBK-EES,HDD,,,4000000.0,,,,,,,,,3.5,,,
products_3_95284377,Kingston,Kingston DataTraveler MicroDuo 3C USB Flash Drive 128GB,"The Kingston DataTraveler MicroDuo 3C 128GB with USB 3.1, has read speeds of up to 100 MB/s and write speeds of up to 15 MB/s. It has two connectors, one standard USB and one USB Type-C connector.",30. 49,68P,1085000.0,https://www.picstop.co.uk/usb-flash-drive/kingston-datatraveler-microduo-3c-usb-flash-drive-128gb.html,"Kingston DataTraveler MicroDuo 3C USB Flash Drive 128GB. Description: The Kingston DataTraveler MicroDuo 3C 128GB with USB 3.1, has read speeds of up to 100 MB/s and write speeds of up to 15 MB/s. It has two connectors, one standard USB and one USB Type-C connector.",DataTraveler microDuo,,,,,119.21 GiB,,15.0 MB/s,USB 3.0,USB Type-C,,,,,USB Type-C,,,
products_3_8832468,Kingston,Kingston 256GB USB 3.0 Flash Drive,"Kingston USB 3.0 256GB flash drive, MPN DT100G3/256GB, with 5-year warranty. Vendor: Kingston. Long description: N/A.",83.0,AUD,1090670.0,https://www.ishoptech.com.au/products/dt100g3-256gb,"Kingston 256GB USB 3.0 Flash Drive. Description: Mpn: DT100G3/256GBVendor: KingstonKingston 256GB USB 3.0 Flash Drive Description:Kingston USB 3.0 256GB Flash Drive, 5 Year Warranty Long Description: N/A",,DT100G3/256GB,USB_STICK,,,,,,,,,,,,,,,
products_3_57657334,Seagate,Seagate IronWolf PRO 4TB NAS Professional,"3.5"", SATA 6.0Gb/s, 7200RPM, 128MB cache, Agile Array",1261.0,DKK,1102119.0,https://www.komplett.dk/product/1152689/hardware/lagring/harddiskssd/harddisk-35/seagate-ironwolf-pro-4tb-nas-professional,"Seagate IronWolf PRO 4TB NAS Professional. Description: 3.5"", SATA 6.0Gb/s, 7200RPM, 128MB cache, Agile Array",IronWolf PRO,,,,,3725.29,,,,SATA III,,,,,3.5-inch SATA,,,
products_3_44123496,,Enterprise Performance 15K.5 12Gb/s SAS 512N 600GB Hard Drive,[/vc_column][/vc_row],,FHS,110876.0,https://seagatevietnam.com/san-pham/enterprise-performance-15k-5-12gbs-sas-512n-600gb-hard-drive,Enterprise Performance 15K.5 12Gb/s SAS 512N 600GB [/vc_column][/vc_row] Drive. Description: Hard,Enterprise Performance 15K.5,,HDD,,,,,,SAS,SAS,,,,,,,,
products_3_73331300,Kingston,Kingston A2000 M.2 NVMe SSD - 500GB SSD - 500 GB - M.2 2280 (80mm) - PCI Express 3.0 x4 (NVMe),"SSD (Solid state drive), 500 GB, intern, Datahastighed: 2200 MBps (læs) / 2000 MBps (skriv), IOPS: 180000 (læs) / 200000 (skriv), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.3 (Non-Volatile Memory Express)",479.0,DKK,1118481.0,https://www.merlin.dk/SSD/Kingston-A2000-M2-NVMe-SSD-500GB-SSD-500-GB-M2-2280-80mm-PCI-Express-30-x4-NVMe/2792094,"Kingston A2000 M.2 NVMe SSD - 500GB SSD - 500 GB - M.2 2280 (80mm) - PCI Express 3.0 x4 (NVMe). Description: SSD (Solid state drive), 500 GB, intern, Datahastighed: 2200 MBps (læs) / 2000 MBps (skriv), IOPS: 180000 (læs) / 200000 (skriv), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.3 (Non-Volatile Memory Express)",A2000,,SSD,,,500.0,2200.0,,PCI Express x4,NVMe,,,,,M.2,,,
products_3_38550440,,ASUS GeForce GTX 1650 Phoenix,"Grafikkort, PCI-Express 3.0, 4GB GDDR5, 1485/1710MHz, Turing",2230.3,SEK,1125404.0,https://www.komplett.se/product/1128393/datorutrustning/datorkomponenter/grafikkort/asus-geforce-gtx-1650-phoenix,"ASUS GeForce GTX 1650 Phoenix. Description: Grafikkort, PCI-Express 3.0, 4GB GDDR5, 1485/1710MHz, Turing",GeForce GTX 1650 Phoenix,,GPU,GeForce GTX 1650,,,,,,,,,,,,,,
products_3_84153542,,XPG Spectrix S40G512 GB M.2 PCI Express 3.0 3D TLC NVMe,"XPG Spectrix S40G, 512 GB, M.2, 3500 MB/s",690.0,AUD,1125926.0,https://www.uzishop.hr/ssd-m2/73010-xpg-spectrix-s40g-m2-512-gb-pci-express-30-3d-tlc-nvme-4710273771113.html,"XPG Spectrix S40G512 GB M.2 PCI Express 3.0 3D TLC NVMe. Description: XPG Spectrix S40G, 512 GB, M.2, 3500 MB/s",Spectrix S40G,,SSD,,,512.0,"3,500,000 KB/s",,PCI ExpRess x16,NVMe,,,,,M.2,,,
products_3_43259269,Eqnsung,"SAMSUNG 2TB 860 QVO INT 2.5\"" SATA3 SSD (MZ-76Q2T0BW)-WRTY W/EA","Samsung 2TB SSD, 860 QVO, SATA III 2.5inch 7mm, Read up to 550MB/s, Write up to 520MB/s, 97K/89K IOPS Random R/W, V-NAND 4bit MLC",299.0,AUD,1134888.0,https://computers.scorptec.com.au/computer/Samsung-860-Qvo,"Samsung 860 QVO 2TB SSD, V-NAND 4bit MLC. Description: Samsung 2TB SSD, III QVO, SATA 860 2.5inch 7mm, Read up to 550MB/s, Write up to 520MB/s, 97K/89K IOPS Random R/W, V-NAND 4bit MLC",860 QVO,,SSD,,,2000.0 GB,0.55,520.0,SATA,5ATA I1I,,,,,,,,2.5-inch
products_3_66328929,Gigabyte,Gigabyte AORUS M.2 2280 NVMe 1TB PCIe 4.0 Internal SSD 5000MB/s GP-ASM2NE6100TTTD | PCByte,"Capacity: 1TB (1000GB)Form Factor : M.2(2280)Read : Up to 5000 MB/sWrite : Up to 4400 MB/sInterface: NVMe 1.3, PCIe Gen4x4",368.53,AUD,11349.0,https://www.pcbyte.com.au/store/product/gigabyte-aorus-m-2-2280-nvme-1tb-pcie-4-0-internal-ssd-5000mb-s-gp-asm2ne6100tttd-24287,"Gigabyte AORUS internal SSD, M.2 2280 NVMe, 1TB (1000GB) capacity, PCIe 4.0, model GP-ASM2NE6100TTTD, offered by PCByte. Specs: read speed up to 5000 MB/s, write speed up to 4400 MB/s, using NVMe 1.3 over PCIe Gen4x4.",,GP-ASM2NE6100TTTD,SSD,,,,5 GB/s,,PCI Express x4,NVMe 1.3,,,,,N.1,,,
products_3_80421350,MSI,"MSI - GeForce RTX 2070 SUPER GAMING X TRIO Grafikkort, PCI-Express 3.0, 8GB GDDR6, Turing","MSI GeForce RTX 2070 SUPER GAMING X TRIO Grafikkort,PCI-Express 3.0, 8GB GDDR6, Turing (GEFORCE RTX 2070 SUPER GAMING X TRIO) - GPU-familj: nVidia - GPU: GeForce RTX 2070 SUPER - Gränssnitt: PCI Express x16 3.0 - Videominne: 8GB - Videominnetyp: GDDR6 - Minnebussbredd: 256 bit - DVI: 0 - VGA: 0 - HDMI: 1 - Displayport: 3 - USB-C: 0 - Profile: Triple Slot - Kyltyp: Aktiva",5422.0,SEK,1144482.0,https://www.studentdator.se/partdetail.aspx?q=p:1000342598,"MSI - GeForce RTX 2070 SUPER GAMING X TRIO Grafikkort, PCI-Express 3.0, 8GB GDDR6, Turing. Description: MSI GeForce RTX 2070 SUPER GAMING X TRIO Grafikkort,PCI-Express 3.0, 8GB GDDR6, Turing (GEFORCE RTX 2070 SUPER GAMING X TRIO) - GPU-familj: nVidia - GPU: GeForce RTX 2070 SUPER - Gränssnitt: PCI Express x16 3.0 - Videominne: 8GB - Videominnetyp: GDDR6 - Minnebussbredd: 256 bit - DVI: 0 - VGA: 0 - HDMI: 1 - Displayport: 3 - USB-C: 0 - Profile: Triple Slot - Kyltyp: Aktiva",GeForce RTX 2070 SUPER GAMING X TRIO,,GPU,GeForce RTX 207O Supcr,8000.0,,,,PCI Express x16,,,,,,,,,
products_3_54935090,Kingston,Kingston Data Traveler 100 G3 USB 3.1 Flash Drive Memory Stick 100MB/s- 128GB,The Kingston DataTraveler 100 G3 USB Flash Drive 3.0 128GB is a black USB which takes advantage of newer technology,12.89,GBP,1153072.0,https://www.picstop.co.uk/usb-flash-drive/kingston-datatraveler-100-g3-usb-flash-drive-30-128gb.html,Kingston DataTraveler 100 G3 USB Flash Drive 3.0 128GB. Description: The Kingston DataTraveler 100 G3 USB Flash Drive 3.0 128GB is a black USB which takes advantage of newer technology,DataTraveler 100 G3,,,,,"128,000 MB",,,USB 3.0,,,,,,,,,
products_3_11220932,Seagate,"Seagate HDD server ST6000NM0115 6TB 3.5"" SATA 7200rpm 512E","Scagate HDD server ST6000NM0115 6TB 3.5\"" SATA 72O0rpm 512E",89.31,HUF,1154215.0,https://www.ikontakt.hu/Seagate-Enterprise-6-0-TB/SATA-7200-256mb-512E,"Seagate server hard drive ST6000NM0115, 6TB 3.5"" SATA at 7200rpm with 512E. Description: Seagate server HDD ST6000NM0115 6TB 3.5"" SATA 7200rpm 512E",server HDD,,Hard Disk Drive,,,,,,,,,,,,3.5-inch SATA,,,3.S-incb
products_3_16116211,ADATA,A-Data XPG GAMMIX S5 M.2 SSD - 512GB,"Solid state drive, 512 inbyggd, GB, M.2 2280, PCI Express 3.0 x4 (NVMe)","1 179,55",XDM,1168370.0,https://www.proshop.se/SSD/A-Data-XPG-GAMMIX-S5-M2-SSD-512GB/2693281,"A-Data XPG GAMMIX S5 M.2 SSD - 512GB. Description: Solid state drive, 512 GB, inbyggd, M.2 2280, PCI Express 3.0 x4 (NVMe)",XPG GAMMIX S5,,,,,,,,,,,,,,,,,M.2 2280
products_3_42354688,,Seagate Game Drive STEA4000407 4 TB Portable Hard Drive - External - White,"Add-on storage for your Xbox OneNothing says \""Game Over\"" for the Xbox One experience like an overloaded hard drive. Boost your console's storage capacity with the Seagate Game Drive for Xbox, the only external drive designed exclusively for Xbox. In a portable drive that fits in your pocket, you can store your current game collection and downloadable content-with tons of space left over your next most anticipated games.With up to need of additional storage for your Xbox One, you can save the world-or even the galaxy-and all the games that are worth keeping. Free up space on your console's internal drive while consolidating 100+ Xbox One games into a single location.Plug-and-play functionality gives you instant power up. Your Xbox One automatically detects your drive and walks you through a hassle-free setup process that will have your drive game-ready in minutes.Unplug the Seagate Game Drive and take your entire game library to a friend's house. It's small enough to slip into your backpack and doesn't 4TB a separate power cord, so you can play your games but eat their snacks.Game Drive for Xbox is compatible with Xbox One, and plugs directly into any USB port in your console.",137.26,,1168888.0,https://www.officesupply.com/technology/drives-media/drives/hard-drives/seagate-game-drive-stea4000407-portable-hard-drive-external-white/p752743.html,"Seagate Game Drive STEA4000407 4 Terabyte Portable Hard Drive - External - White. Description: Add-on storage for your Xbox OneNothing says \""Game Over\"" for the Xbox One experience like an overloaded hard drive. Boost your console's storage capacity with the Seagate Game Drive for Xbox, the only external drive designed exclusively for Xbox. In a portable drive that fits in your pocket, you can store your current game collection and downloadable content-with tons of space left over your next most anticipated games.With up to 4TB of additional storage for your Xbox One, you can save the world-or even the galaxy-and all the games that are worth keeping. Free up space on your console's internal drive while consolidating 100+ Xbox One games into a single location.Plug-and-play functionality gives you instant power up. Your Xbox One automatically detects your drive and walks you through a hassle-free setup process that will have your drive game-ready in minutes.Unplug the Seagate Game Drive and take your entire game library to a friend's house. It's small enough to slip into your backpack and doesn't need a separate power cord, so you can play your games but eat their snacks.Game Drive for Xbox is compatible with Xbox One, and plugs directly into any USB port in your console.",Game Drive,STEA4000407,,,,,,,USB,,,,,,USB,,,External
products_3_68616904,,"10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD","10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD",371.85,USD,1174110.0,https://www.avadirect.com/10TB-Exos-X10-Helium-ST10000NM0016-7200-RPM-SATA-6Gb-s-Hyperscale-512e-256MB-cache-3-5-Inch-HDD/Product/10461909,"10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD. Description: 10TB Exos X10 (Helium) ST10000NM0016, 7200 RPM, SATA 6Gb/s (Hyperscale), 512e, 256MB cache, 3.5-Inch HDD",Exos X10 (Helium),ST10000NM0016,Hard Disk Drive,,,"10,000,000 MB",,,,,,,,,,,,
products_3_67327168,,ASUS Phoenix PH-RTX2060-6G NVIDIA GeForce RTX 2060 6 GB GDDR6,"ASUS Phoenix PH-RTX2060-6G, GeForce RTX 2060, 6 GB, GDDR6, 192 Bit, 7680 x 4320 Pixels, PCI Express 3.0",404.23,EUR,117727.0,https://www.mymediacenter.nl/asus-ph-rtx2060-6g-6gbdvihdmidpactive.html,"ASUS Phoenix PH-RTX2060-6G NVIDIA GeForce RTX 2060 6 GB GDDR6. Description: ASUS Phoenix PH-RTX2060-6G, GeForce RTX 2060, 6 GB, GDDR6, 192 Bit, 7680 x 4320 Pixels, PCI Express 3.0",PhoeniX PH-RTX2060-6G,,GPU,,,,,,PCI Express x16,,,,,,,GDDR6,,
products_3_55587435,Samsung,Samsung 970 EVO Plus SSD M.2 2280 - 500GB SSD - 500 GB - M.2 2280 (80mm) - PCI Express 3.0 x4 (NVMe),"SSD (Solid state drive), 500 GB, intern, Datahastighed: 3500 MBps (læs) / 3200 MBps (skriv), IOPS: 480000 (læs) / 550000 (skriv), 512MB LPDDR4 cache, M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.3 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",1058.4,DKK,118048.0,https://www.merlin.dk/SSD/Samsung-970-EVO-Plus-SSD-M2-2280-500GB-SSD-500-GB-M2-2280-80mm-PCI-Express-30-x4-NVMe/2695178,"Samsung 970 EVO Plus SSD M.2 2280 - 500GB SSD - 500 GB - M.2 2280 (80mm) - PCI Express 3.0 x4 (NVMe). Description: SSD (Solid state drive), 500 GB, intern, Datahastighed: 3500 MBps (læs) / 3200 MBps (skriv), IOPS: 480000 (læs) / 550000 (skriv), 512MB LPDDR4 cache, M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.3 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",970 EVO Plus,,SSD,,,500.0,3.50 GB/s,3200000 KB/s,PCI Express x4,NVMe,,,,,,,,
products_3_2070043,Gigabyte,Gigabyte GeForce GT1030 OC - 2 GB,"GT 1030, 2GB GDDR5, 64-bit, DVI-D, HDMI",95.0,EUR,1181812.0,https://www.paradigit.nl/gigabyte-geforce-gt1030-oc-2-gb/20849554/product,"Gigabyte GeForce GT1030 OC 2 GB. Description: GT 1030, 2GB GDDR5, 64-bit, DVI-D, HDMI",GeForce GT1030 OC,,GPU,,,,,,,,,,,,,GDDR5,,
